instrument_id,timestamp,open,high,low,close,volume
XMR-USD-PERP.HYPERLIQUID,1771149480000,349.58,349.58,349.46,349.46,2.012
BTC-USD-PERP.HYPERLIQUID,1771149480000,70379.0,70391.0,70378.0,70390.0,0.52936
BTC-USD-PERP.HYPERLIQUID,1771149480000,70379.0,70391.0,70378.0,70391.0,0.53036
FARTCOIN-USD-PERP.HYPERLIQUID,1771149480000,0.21174,0.21177,0.21171,0.21177,385.2
HYPE-USD-PERP.HYPERLIQUID,1771149480000,31.131,31.145,31.121,31.13,83.09
SUI-USD-PERP.HYPERLIQUID,1771149480000,1.0223,1.0226,1.022,1.0226,7269.4
XRP-USD-PERP.HYPERLIQUID,1771149480000,1.5888,1.592,1.588,1.5891,131348.0
ZEC-USD-PERP.HYPERLIQUID,1771149480000,310.11,311.08,309.85,310.64,1280.47
ZEN-USD-PERP.HYPERLIQUID,1771149480000,6.5502,6.5502,6.5502,6.5502,2.32
CAKE-USD-PERP.HYPERLIQUID,1771149480000,1.3472,1.3472,1.3453,1.3453,62.5
DOOD-USD-PERP.HYPERLIQUID,1771149480000,0.0039,0.0039,0.0039,0.0039,10043.0
ETH-USD-PERP.HYPERLIQUID,1771149480000,2067.5,2067.6,2066.9,2067.5,6.3698
WLD-USD-PERP.HYPERLIQUID,1771149480000,0.42414,0.42415,0.424,0.424,287.4
ZEC-USD-PERP.HYPERLIQUID,1771149480000,310.11,311.08,309.85,310.59,1295.19
FARTCOIN-USD-PERP.HYPERLIQUID,1771149480000,0.21174,0.21177,0.21171,0.21177,490.3
NEAR-USD-PERP.HYPERLIQUID,1771149480000,1.0788,1.0788,1.0788,1.0788,18.5
POLYX-USD-PERP.HYPERLIQUID,1771149480000,0.046542,0.04658,0.046542,0.04658,436.0
SOL-USD-PERP.HYPERLIQUID,1771149480000,89.916,89.955,89.883,89.945,503.76
ZEC-USD-PERP.HYPERLIQUID,1771149480000,310.11,311.08,309.85,310.6,1304.66
BTC-USD-PERP.HYPERLIQUID,1771149480000,70379.0,70391.0,70378.0,70391.0,0.53052
LIT-USD-PERP.HYPERLIQUID,1771149480000,1.7099,1.7117,1.709,1.7117,1331.0
LTC-USD-PERP.HYPERLIQUID,1771149480000,56.172,56.172,56.172,56.172,0.33
ZEC-USD-PERP.HYPERLIQUID,1771149480000,310.11,311.08,309.85,310.63,1304.72
HYPE-USD-PERP.HYPERLIQUID,1771149480000,31.131,31.145,31.121,31.125,90.96
TRX-USD-PERP.HYPERLIQUID,1771149480000,0.281,0.281,0.281,0.281,1585.0
kFLOKI-USD-PERP.HYPERLIQUID,1771149480000,0.03397,0.03397,0.033961,0.033961,11437.0
AVAX-USD-PERP.HYPERLIQUID,1771149480000,9.5889,9.591,9.5872,9.5872,102.0
BTC-USD-PERP.HYPERLIQUID,1771149480000,70379.0,70391.0,70378.0,70391.0,0.53095
LINK-USD-PERP.HYPERLIQUID,1771149480000,9.1185,9.1224,9.1184,9.1224,217.0
MNT-USD-PERP.HYPERLIQUID,1771149480000,0.67266,0.67305,0.67252,0.67267,6247.3
TRX-USD-PERP.HYPERLIQUID,1771149480000,0.281,0.281,0.281,0.281,1899.0
ZEC-USD-PERP.HYPERLIQUID,1771149480000,310.11,311.08,309.85,310.52,1304.92
ETH-USD-PERP.HYPERLIQUID,1771149480000,2067.5,2067.6,2066.9,2067.5,6.502
MELANIA-USD-PERP.HYPERLIQUID,1771149480000,0.12414,0.12414,0.12414,0.12414,301.7
STX-USD-PERP.HYPERLIQUID,1771149480000,0.2751,0.2751,0.2751,0.2751,114.2
UMA-USD-PERP.HYPERLIQUID,1771149480000,0.51861,0.51871,0.51861,0.51871,74.4
BANANA-USD-PERP.HYPERLIQUID,1771149480000,4.8041,4.8041,4.8041,4.8041,3.5
SOL-USD-PERP.HYPERLIQUID,1771149480000,89.916,89.955,89.883,89.938,881.75
ZEC-USD-PERP.HYPERLIQUID,1771149480000,310.11,311.08,309.85,310.53,1363.31
BTC-USD-PERP.HYPERLIQUID,1771149480000,70379.0,70391.0,70378.0,70391.0,0.53111
HYPE-USD-PERP.HYPERLIQUID,1771149480000,31.131,31.145,31.121,31.134,91.89
SOL-USD-PERP.HYPERLIQUID,1771149480000,89.916,89.955,89.883,89.938,881.87
SUI-USD-PERP.HYPERLIQUID,1771149480000,1.0223,1.0226,1.022,1.0223,7544.8
ZEC-USD-PERP.HYPERLIQUID,1771149480000,310.11,311.08,309.85,310.53,1363.4
kBONK-USD-PERP.HYPERLIQUID,1771149480000,0.006961,0.006961,0.006959,0.006959,49640.0
kPEPE-USD-PERP.HYPERLIQUID,1771149480000,0.004796,0.004798,0.004796,0.004798,13435.0
HYPER-USD-PERP.HYPERLIQUID,1771149480000,0.10557,0.10557,0.10542,0.10542,549.0
BRETT-USD-PERP.HYPERLIQUID,1771149480000,0.008389,0.00839,0.00838,0.00838,7000.0
